depth;l1misses;l1accesses;l1mr;l2misses;l2accesses;l2mr;l3misses;l3accesses;l3mr
2;31574890;1093542696;0.028874;27851586;31574890;0.882080;44032;27851586;0.001581
3;31574890;1093542696;0.028874;27851586;31574890;0.882080;44032;27851586;0.001581
4;31574890;1093542696;0.028874;27851586;31574890;0.882080;44032;27851586;0.001581
5;31574890;1093542696;0.028874;27851586;31574890;0.882080;44032;27851586;0.001581
6;31574890;1093542696;0.028874;27851586;31574890;0.882080;44032;27851586;0.001581
7;31574890;1093542696;0.028874;27851586;31574890;0.882080;44032;27851586;0.001581
