depth;l1misses;l1accesses;l1mr;l2misses;l2accesses;l2mr;l3misses;l3accesses;l3mr
2;2284;1268904;0.001800;688;2284;0.301226;688;688;1.000000
3;2284;1268904;0.001800;688;2284;0.301226;688;688;1.000000
4;2284;1268904;0.001800;688;2284;0.301226;688;688;1.000000
