cycles;flops;flops/cycle
58675119279.000000;17985961984;0.306535
59617196584.000000;17985961984;0.301691
60227910822.000000;17985961984;0.298632
58992021668.000000;17985961984;0.304888
58951133093.000000;17985961984;0.305100
59017254836.000000;17985961984;0.304758
63258835449.000000;17985961984;0.284323
62840205182.000000;17985961984;0.286217
62363988378.000000;17985961984;0.288403
62447499770.000000;17985961984;0.288017
62348573076.000000;17985961984;0.288474
59756231994.000000;17985961984;0.300989
59593387196.000000;17985961984;0.301811
59374926814.000000;17985961984;0.302922
60080692681.000000;17985961984;0.299363
59439924436.000000;17985961984;0.302591
62419713353.000000;17985961984;0.288146
60186615652.000000;17985961984;0.298837
60017146420.000000;17985961984;0.299680
62445103793.000000;17985961984;0.288028
61814544263.000000;17985961984;0.290967
60565653500.000000;17985961984;0.296966
60646197833.000000;17985961984;0.296572
60032544319.000000;17985961984;0.299604
59021611533.000000;17985961984;0.304735
61586811372.000000;17985961984;0.292042
59037493765.000000;17985961984;0.304653
58626551055.000000;17985961984;0.306789
58524467202.000000;17985961984;0.307324
58549197084.000000;17985961984;0.307194
58906058141.000000;17985961984;0.305333
58716348118.000000;17985961984;0.306319
58525535794.000000;17985961984;0.307318
58517786941.000000;17985961984;0.307359
58496332120.000000;17985961984;0.307472
58741202192.000000;17985961984;0.306190
58679246983.000000;17985961984;0.306513
58669421739.000000;17985961984;0.306565
58767712931.000000;17985961984;0.306052
58711731208.000000;17985961984;0.306344
59597259573.000000;17985961984;0.301792
63666799919.000000;17985961984;0.282501
62427323452.000000;17985961984;0.288110
62216917900.000000;17985961984;0.289085
61715341764.000000;17985961984;0.291434
61845038102.000000;17985961984;0.290823
61897505419.000000;17985961984;0.290577
62597695649.000000;17985961984;0.287326
66795645162.000000;17985961984;0.269268
66334621487.000000;17985961984;0.271140
