cycles;flops;flops/cycle
14699500.333333;13209600;0.898643
16386656.333333;13209600;0.806119
14870483.333333;13209600;0.888310
14618392.000000;13209600;0.903629
14561841.333333;13209600;0.907138
14564337.000000;13209600;0.906983
14556560.333333;13209600;0.907467
14573520.000000;13209600;0.906411
14576557.000000;13209600;0.906222
14561600.666667;13209600;0.907153
14573574.666667;13209600;0.906408
14586096.333333;13209600;0.905630
14603237.000000;13209600;0.904567
14938117.000000;13209600;0.884288
14740769.666667;13209600;0.896127
14591981.666667;13209600;0.905264
14586970.000000;13209600;0.905575
14570783.333333;13209600;0.906581
14566936.000000;13209600;0.906821
14572024.000000;13209600;0.906504
14589640.000000;13209600;0.905410
14550234.666667;13209600;0.907862
14562506.666667;13209600;0.907097
14564286.000000;13209600;0.906986
14575044.333333;13209600;0.906316
14578538.333333;13209600;0.906099
14603181.000000;13209600;0.904570
14694656.666667;13209600;0.898939
14789441.333333;13209600;0.893178
14624301.333333;13209600;0.903264
14575559.333333;13209600;0.906284
14577267.000000;13209600;0.906178
14657674.333333;13209600;0.901207
14568494.000000;13209600;0.906724
14564403.333333;13209600;0.906978
14563047.000000;13209600;0.907063
14569951.333333;13209600;0.906633
14643346.333333;13209600;0.902089
15078331.666667;13209600;0.876065
14573534.666667;13209600;0.906410
14577838.666667;13209600;0.906143
14554608.333333;13209600;0.907589
14631964.000000;13209600;0.902791
14572355.000000;13209600;0.906484
14601640.666667;13209600;0.904665
14566146.333333;13209600;0.906870
14625481.666667;13209600;0.903191
14562871.000000;13209600;0.907074
14587884.333333;13209600;0.905519
14574223.333333;13209600;0.906367
