depth;l1misses;l1accesses;l1mr;l2misses;l2accesses;l2mr;l3misses;l3accesses;l3mr
2;100725;11338536;0.008883;2811;100725;0.027908;2752;2811;0.979011
3;100725;11338536;0.008883;2811;100725;0.027908;2752;2811;0.979011
4;100725;11338536;0.008883;2811;100725;0.027908;2752;2811;0.979011
5;100725;11338536;0.008883;2811;100725;0.027908;2752;2811;0.979011
