depth;l1misses;l1accesses;l1mr;l2misses;l2accesses;l2mr;l3misses;l3accesses;l3mr
2;349930448;11228105384;0.031166;292098294;349930448;0.834732;915442;292098294;0.003134
3;349930448;11228105384;0.031166;292098294;349930448;0.834732;915442;292098294;0.003134
4;349930448;11228105384;0.031166;292098294;349930448;0.834732;915442;292098294;0.003134
5;349930448;11228105384;0.031166;292098294;349930448;0.834732;915442;292098294;0.003134
6;349930448;11228105384;0.031166;292098294;349930448;0.834732;915442;292098294;0.003134
7;349930448;11228105384;0.031166;292098294;349930448;0.834732;915442;292098294;0.003134
